SID,CNT,SHOW_TYPE
4101,18871,1
4304,17440,2
4304,17440,2
4304,17440,1
4304,17440,1
203,17357,2
203,17357,2
203,17357,1
203,17357,1
4403,15417,2
4403,15417,2
4403,15417,1
4403,15417,1
4302,1648573,2
4302,1648573,1
4302,1648573,1
4302,1648573,2
4302,1648573,1
4302,1648573,2
4302,1648573,2
4301,342237,2
4301,342237,1
4301,342237,1
4301,342237,2
4301,342237,1
4301,342237,2
4301,342237,2
305,31488,2
305,31488,1
305,31488,1
305,31488,2
305,31488,1
305,31488,2
305,31488,2
4601,14441,2
4601,14441,1
4601,14441,1
4601,14441,2
4601,14441,1
4601,14441,2
4601,14441,2
3801,6155,2
3801,6155,1
3801,6155,1
3801,6155,2
3801,6155,1
3801,6155,2
3801,6155,2
65200,5985,2
65200,5985,1
65200,5985,1
65200,5985,2
65200,5985,1
65200,5985,2
65200,5985,2
309,523,2
309,523,1
309,523,1
309,523,2
309,523,1
309,523,2
309,523,2
301,464,2
301,464,1
301,464,1
301,464,2
301,464,1
301,464,2
301,464,2
1403,289,2
1403,289,1
1403,289,1
1403,289,2
1403,289,1
1403,289,2
1403,289,2
1001,220,2
1001,220,1
1001,220,1
1001,220,2
1001,220,1
1001,220,2
1001,220,2
4302,89,2
4302,89,1
4302,89,1
4302,89,2
4302,89,1
4302,89,2
4302,89,2
304,70,2
304,70,1
304,70,1
304,70,2
304,70,1
304,70,2
304,70,2
1202,46,2
1202,46,1
1202,46,1
1202,46,2
1202,46,1
1202,46,2
1202,46,2
1204,25,2
1204,25,1
1204,25,1
1204,25,2
1204,25,1
1204,25,2
1204,25,2
902,22,2
902,22,1
902,22,1
902,22,2
902,22,1
902,22,2
902,22,2
905,21,2
905,21,1
905,21,1
905,21,2
905,21,1
905,21,2
905,21,2
1308,19,2
1308,19,1
1308,19,1
1308,19,2
1308,19,1
1308,19,2
1308,19,2
1706,5,2
1706,5,1
1706,5,1
1706,5,2
1706,5,1
1706,5,2
1706,5,2
4204,1,2
4204,1,1
4204,1,1
4204,1,2
4204,1,1
4204,1,2
4204,1,2
2102,1639908,2
2101,68580,2
1506,13258,2
1501,10147,2
101,4253,2
1902,3667,2
1704,3206,2
403,2898,2
1405,313,2
1404,1563112,4
1404,1563112,4
1404,1563112,4
1404,1563112,4
1001,72098,4
1001,72098,4
1001,72098,4
1001,72098,4
203,60295,4
203,60295,4
203,60295,4
203,60295,4
1403,58285,4
1403,58285,4
1403,58285,4
1403,58285,4
1503,40878,4
1503,40878,4
1503,40878,4
1503,40878,4
208,20630,4
208,20630,4
208,20630,4
208,20630,4
1201,19676,4
1201,19676,4
1201,19676,4
1201,19676,4
1103,15607,4
1103,15607,4
1103,15607,4
1103,15607,4
65200,14439,4
65200,14439,4
65200,14439,4
65200,14439,4
205,9462,4
205,9462,4
205,9462,4
205,9462,4
1904,9187,4
1904,9187,4
1904,9187,4
1904,9187,4
1802,7632,4
1802,7632,4
1802,7632,4
1802,7632,4
1202,4463,4
1202,4463,4
1202,4463,4
1202,4463,4
1204,3654,4
1204,3654,4
1204,3654,4
1204,3654,4
1505,2715,4
1505,2715,4
1505,2715,4
1505,2715,4
1501,2366,4
1501,2366,4
1501,2366,4
1501,2366,4
1003,2176,4
1003,2176,4
1003,2176,4
1003,2176,4
1606,1779,4
1606,1779,4
1606,1779,4
1606,1779,4
1705,318,4
1705,318,4
1705,318,4
1705,318,4
1407,204,4
1407,204,4
1407,204,4
1407,204,4
7301,1479757,2
7301,1479757,2
7301,1479757,2
7301,1479757,2
4601,535436,2
4601,535436,2
4601,535436,2
4601,535436,2
3101,265460,2
3101,265460,2
3101,265460,2
3101,265460,2
7303,117554,2
7303,117554,2
7303,117554,2
7303,117554,2
4402,103340,2
4402,103340,2
4402,103340,2
4402,103340,2
4801,79662,2
4801,79662,2
4801,79662,2
4801,79662,2
1405,57852,2
1405,57852,2
1405,57852,2
1405,57852,2
3103,54866,2
3103,54866,2
3103,54866,2
3103,54866,2
3401,51095,2
3401,51095,2
3401,51095,2
3401,51095,2
7304,49901,2
7304,49901,2
7304,49901,2
7304,49901,2
3402,31188,2
3402,31188,2
3402,31188,2
3402,31188,2
309,27003,2
309,27003,2
309,27003,2
309,27003,2
1203,26451,2
1203,26451,2
1203,26451,2
1203,26451,2
4001,19580,2
4001,19580,2
4001,19580,2
4001,19580,2
305,11044,2
305,11044,2
305,11044,2
305,11044,2
2007,8892,2
2007,8892,2
2007,8892,2
2007,8892,2
3303,5250,2
3303,5250,2
3303,5250,2
3303,5250,2
7701,4886,2
7701,4886,2
7701,4886,2
7701,4886,2
7501,3717,2
7501,3717,2
7501,3717,2
7501,3717,2
1206,3520,2
1206,3520,2
1206,3520,2
1206,3520,2
1001,1392572,2
1404,643664,2
1507,14650,2
1703,4307,2
1505,1795,2
1902,1412,2
1004,1226,2
1904,1086,2
1906,608,2
1202,596,2
1705,469,2
906,448,2
1603,357,2
1806,357,2
2007,291,2
904,245,2
1802,238,2
403,228,2
1203,206,2
205,178,2
65200,1345215,2
802,15564,2
1001,5979,2
1403,889,2
906,301,2
1308,194,2
905,74,2
208,70,2
904,35,2
205,19,2
1404,19,2
307,16,2
1203,14,2
3701,9,2
1507,6,2
1001,1343705,2
1001,1343705,2
1001,1343705,2
1904,384984,2
1904,384984,2
1904,384984,2
1404,128195,2
1404,128195,2
1404,128195,2
1405,45347,2
1405,45347,2
1405,45347,2
903,12090,2
903,12090,2
903,12090,2
1706,2030,2
1706,2030,2
1706,2030,2
1204,1902,2
1204,1902,2
1204,1902,2
208,1775,2
208,1775,2
208,1775,2
201,596,2
201,596,2
201,596,2
308,193,2
308,193,2
308,193,2
905,131,2
905,131,2
905,131,2
1403,111,2
1403,111,2
1403,111,2
307,69,2
307,69,2
307,69,2
1208,32,2
1208,32,2
1208,32,2
1803,32,2
1803,32,2
1803,32,2
1703,31,2
1703,31,2
1703,31,2
205,27,2
205,27,2
205,27,2
301,19,2
301,19,2
301,19,2
1806,9,2
1806,9,2
1806,9,2
1605,8,2
1605,8,2
1605,8,2
1405,1262350,2
1404,185239,2
1805,135783,2
1001,132349,2
4202,93496,2
203,65388,2
1003,54161,2
208,37588,2
1201,34141,2
4601,31563,2
1202,26338,2
3101,25516,2
1204,21384,2
1208,15554,2
1007,14972,2
3201,14501,2
1403,12296,2
1505,10328,2
1405,9555,2
304,9044,2
1001,1204544,4
1703,64473,4
1403,64403,4
1401,60059,4
1201,43157,4
1802,27446,4
1904,22201,4
905,18441,4
1901,11094,4
1602,9484,4
205,9481,4
1604,8866,4
1702,8463,4
904,8328,4
1402,7007,4
3202,4487,4
4801,3109,4
101,2612,4
4404,1827,4
1007,1608,4
1401,1171128,2
1401,1171128,2
1401,1171128,4
1401,1171128,2
1401,1171128,4
1002,144867,2
1002,144867,2
1002,144867,4
1002,144867,2
1002,144867,4
903,106942,2
903,106942,2
903,106942,4
903,106942,2
903,106942,4
905,40592,2
905,40592,2
905,40592,4
905,40592,2
905,40592,4
1402,28223,2
1402,28223,2
1402,28223,4
1402,28223,2
1402,28223,4
1202,20305,2
1202,20305,2
1202,20305,4
1202,20305,2
1202,20305,4
1702,15457,2
1702,15457,2
1702,15457,4
1702,15457,2
1702,15457,4
1204,14702,2
1204,14702,2
1204,14702,4
1204,14702,2
1204,14702,4
4204,10964,2
4204,10964,2
4204,10964,4
4204,10964,2
4204,10964,4
906,8527,2
906,8527,2
906,8527,4
906,8527,2
906,8527,4
305,8136,2
