,0,1,2,3
0,294.0,715.0,0.0,2.0
1,208.0,796.0,0.0,2.0
2,266.0,869.0,0.0,2.0
3,14.0,271.0,0.0,2.0
4,16.0,358.0,0.0,2.0
5,20.0,321.0,0.0,2.0
6,26.0,520.0,0.0,2.0
7,500.0,938.0,0.0,2.0
8,992.0,1004.0,0.0,3.0
9,63.0,791.0,0.0,2.0
10,283.0,700.0,0.0,2.0
11,233.0,590.0,0.0,2.0
12,339.0,481.0,0.0,2.0
13,841.0,925.0,0.0,2.0
14,27.0,254.0,0.0,2.0
15,38.0,740.0,0.0,2.0
16,69.0,324.0,0.0,2.0
17,76.0,524.0,0.0,2.0
18,83.0,374.0,0.0,2.0
19,218.0,364.0,0.0,2.0
20,163.0,914.0,0.0,2.0
21,171.0,691.0,0.0,2.0
22,366.0,865.0,0.0,2.0
23,490.0,501.0,0.0,2.0
24,247.0,684.0,0.0,2.0
25,350.0,668.0,0.0,2.0
26,482.0,962.0,0.0,2.0
27,200.0,650.0,0.0,2.0
28,244.0,527.0,0.0,2.0
29,675.0,944.0,0.0,2.0
30,495.0,879.0,0.0,2.0
31,428.0,474.0,0.0,2.0
32,387.0,1016.0,0.0,3.0
33,818.0,859.0,0.0,2.0
34,440.0,479.0,0.0,2.0
35,751.0,758.0,0.0,2.0
36,498.0,952.0,0.0,2.0
37,414.0,993.0,1.0062329126869773e-05,2.0
38,345.0,400.0,1.0062329126869773e-05,2.0
39,201.0,353.0,1.0062329126869773e-05,2.0
40,49.0,934.0,2.0124658253739547e-05,2.0
41,567.0,798.0,3.018698738055381e-05,2.0
42,59.0,708.0,3.018698738060932e-05,2.0
43,342.0,933.0,3.018698738060932e-05,2.0
44,349.0,433.0,4.024931650742358e-05,2.0
45,143.0,991.0,5.0311645634293356e-05,2.0
46,15.0,1000.0,6.97138611608104e-05,3.0
47,0.0,530.0,7.04363038880329e-05,2.0
48,110.0,772.0,7.334097665278505e-05,2.0
49,231.0,264.0,7.334097665278505e-05,2.0
50,242.0,279.0,7.538335531637262e-05,2.0
51,80.0,382.0,7.538335531637262e-05,2.0
52,258.0,845.0,7.53833553164008e-05,2.0
53,563.0,648.0,7.86695785932569e-05,2.0
54,168.0,767.0,7.86695785932782e-05,2.0
55,86.0,186.0,8.049863301490268e-05,2.0
56,227.0,876.0,8.305212741550736e-05,2.0
57,395.0,639.0,8.305212741550736e-05,2.0
58,946.0,1024.0,8.388602099616606e-05,3.0
59,103.0,687.0,8.836803763441633e-05,2.0
60,89.0,672.0,9.056096214171694e-05,2.0
61,282.0,1023.0,9.083980475578636e-05,3.0
62,96.0,442.0,9.445986035025584e-05,2.0
63,451.0,897.0,9.445986035029132e-05,2.0
64,248.0,1038.0,9.876130331111068e-05,3.0
65,630.0,1041.0,9.876130331114273e-05,3.0
66,202.0,311.0,0.00010062329126858671,2.0
67,18.0,422.0,0.00010118755503684349,2.0
68,582.0,640.0,0.00010118755503684349,2.0
69,25.0,42.0,0.00010118755503685344,2.0
70,535.0,1043.0,0.0001054544137183373,3.0
71,867.0,1048.0,0.00010729870065086608,3.0
72,263.0,704.0,0.00010843282854465256,2.0
73,496.0,573.0,0.00011068562039545649,2.0
74,621.0,1050.0,0.00012352845201523495,3.0
75,745.0,927.0,0.00012410759499183687,2.0
76,78.0,449.0,0.00013081027864914052,2.0
77,881.0,982.0,0.0001466819533055701,2.0
